,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meds,ws,timestamp
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,,,
50,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.314,9.912,932.9962559999999,122.096,67,68751,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 2.0)",Jun-24-2021_1504
51,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.196,6.578,767.087916,130.1199999999999,61,47775,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 3.0)",Jun-24-2021_1504
52,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.134,0.866,0.0,0.0,0.07,2.008,249.35193600000002,112.55999999999995,74,222740,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 0.5)",Jun-24-2021_1504
53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,70.56799999999998,64,64056,405000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 1.0)",Jun-24-2021_1504
54,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.02800000000002,55,51670,435000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 2.0)",Jun-24-2021_1504
55,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.29600000000005,57,47575,510000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(1.0, 3.0)",Jun-24-2021_1504
56,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.646,0.0,0.0,0.0,0.0,0.354,0.0,0.0,0.0,1.0,30.0,246.672,246.67200000000003,125,36945,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 0.5)",Jun-24-2021_1504
57,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.176000000000045,53,119344,500000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 1.0)",Jun-24-2021_1504
58,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,91.98,91.98000000000002,66,16103,510000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 2.0)",Jun-24-2021_1504
59,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.888,26.926,448.3405240000001,97.51599999999996,62,57893,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 3.0)",Jun-24-2021_1504
